Geo_NAME,Geo_QName,Geo_FIPS,Geo_SUMLEV,Geo_GEOCOMP,Geo_STATE,Geo_COUNTY,Geo_COUNTYSC,Geo_COUSUB,Geo_TRACT,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_006
"Census Tract 1","Census Tract 1, Bronx County, New York","36005000100","140","00","36","005","21",,"000100",11091,11091,18188.09,0.609794717195601
"Census Tract 2","Census Tract 2, Bronx County, New York","36005000200","140","00","36","005","21",,"000200",4334,4334,24652.9,0.175800814521148
"Census Tract 4","Census Tract 4, Bronx County, New York","36005000400","140","00","36","005","21",,"000400",5503,5503,15621.23,0.352276921746356
"Census Tract 16","Census Tract 16, Bronx County, New York","36005001600","140","00","36","005","21",,"001600",5643,5643,30129.74,0.187290056942349
"Census Tract 19","Census Tract 19, Bronx County, New York","36005001900","140","00","36","005","21",,"001900",1917,1917,3020.713,0.634618384332283
"Census Tract 20","Census Tract 20, Bronx County, New York","36005002000","140","00","36","005","21",,"002000",8731,8731,57166.66,0.1527288929524
"Census Tract 23","Census Tract 23, Bronx County, New York","36005002300","140","00","36","005","21",,"002300",4933,4933,122236.6,0.0403561715343855
"Census Tract 24","Census Tract 24, Bronx County, New York","36005002400","140","00","36","005","21",,"002400",4,4,15.33413,0.260856034854216
"Census Tract 25","Census Tract 25, Bronx County, New York","36005002500","140","00","36","005","21",,"002500",5491,5491,111438.1,0.0492739734701474
"Census Tract 27.01","Census Tract 27.01, Bronx County, New York","36005002701","140","00","36","005","21",,"002701",3113,3113,96976.58,0.0321005348287328
"Census Tract 27.02","Census Tract 27.02, Bronx County, New York","36005002702","140","00","36","005","21",,"002702",4475,4475,73651.68,0.0607589687674229
"Census Tract 28","Census Tract 28, Bronx County, New York","36005002800","140","00","36","005","21",,"002800",5586,5586,34655.1,0.161188391606448
"Census Tract 31","Census Tract 31, Bronx County, New York","36005003100","140","00","36","005","21",,"003100",1597,1597,26464.63,0.0603446811336578
"Census Tract 33","Census Tract 33, Bronx County, New York","36005003300","140","00","36","005","21",,"003300",3413,3413,58648.18,0.0581944781211342
"Census Tract 35","Census Tract 35, Bronx County, New York","36005003500","140","00","36","005","21",,"003500",3761,3761,68595.79,0.0548284393595646
"Census Tract 37","Census Tract 37, Bronx County, New York","36005003700","140","00","36","005","21",,"003700",245,245,3785.313,0.0647238520024031
"Census Tract 38","Census Tract 38, Bronx County, New York","36005003800","140","00","36","005","21",,"003800",1264,1264,51638.8,0.02447771958789
"Census Tract 39","Census Tract 39, Bronx County, New York","36005003900","140","00","36","005","21",,"003900",6475,6475,77564.27,0.0834791512547548
