ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP,Shape_STAr,Shape_STLe
"34",NEW JERSEY,NJ,"34013",Essex,"34013980100","Census Tract 9801, Essex County, New Jersey",0.563971855462,"2619","281","0","12","0","12","0","12","0","12","-999","-999","599","116","110","64","0","12","0","12","0",17,"2181",307.1,"20",50.8,"0",17,"0","12","0",17,"0","12","2619","281",-999,-999,-999,-999,-999,-999,23.8,3.6,4.2,2.5,0,0.5,-999,-999,0,-999,83.3,7.6,0.8,1.9,0,-999,-999,-999,0,-999,-999,-999,100,0,-999,-999,-999,0.8593,-999,-999,0.0241,0,-999,0,-999,-999,0.8691,0.3889,1.258,0.6626,0,-999,0,-999,0.9975,-999,-999,-999,-999,"-999","-999","-999","0","-999","0","0","-999","0","-999","0","0","0","0","-999","0","-999","1","-999","-999","0","12",-999,-999,"2948",0.0001557676675,0.0702823748727
"34",NEW JERSEY,NJ,"34013",Essex,"34013980200","Census Tract 9802, Essex County, New Jersey",6.2836741421,"1466","354","0","12","0","12","0","12","0","12","2418","2289","404","209","10","14","0","12","0","12","0",17,"1247",360.1,"16",48.2,"0",17,"0","12","0",17,"0","12","1466","354",-999,-999,-999,-999,2418,2289,31.1,10.1,0.7,1,0,0.8,-999,-999,0,-999,85.1,13.5,1.1,3.3,0,-999,-999,-999,0,-999,-999,-999,100,0,-999,-999,0.9994,0.9312,-999,-999,0.0062,0,-999,0,-999,-999,0.8795,0.4516,1.3311,0.7005,0,-999,0,-999,0.9975,-999,-999,-999,-999,"-999","-999","1","1","-999","0","0","-999","0","-999","0","0","0","0","-999","0","-999","1","-999","-999","0","12",-999,-999,"34767",0.002054368616,0.229440859037
"34",NEW JERSEY,NJ,"34017",Hudson,"34017980100","Census Tract 9801, Hudson County, New Jersey",1.13996808551,"0","12","0","12","0","12","0","12","0","12","-999","-999","0","12","0","12","0","12","0","12","0",17,"0",17,"0",48,"0",17,"0","12","0",17,"0","12","0","12",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,0,-999,0,-999,0,-999,0,-999,-999,-999,0,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","0","12",-999,-999,"2919",0.000336253332809,0.0898743551344
"34",NEW JERSEY,NJ,"34031",Passaic,"34031223900","Census Tract 2239, Passaic County, New Jersey",0.332645791998,"234","152","0","12","0","12","104","31","10","14","12540","4681","101","84","27","41","0","12","187","158","0",17,"57",217.8,"0",48,"0",17,"0","12","0",17,"0","12","234","152",44.4,35.3,38.5,61.5,12540,4681,45.7,18.9,11.5,19.1,0,5.1,79.9,19.8,0,-999,24.4,91.7,0,20.5,0,-999,-999,-999,0,-999,-999,-999,100,0,0.971,0.9993,0.9695,0.9843,3.9241,0.9983,0.2771,0,0.9999,0,1.277,0.105,0.4352,0,0.4352,0.1977,0,-999,0,-999,0.9975,-999,-999,-999,-999,"1","1","1","1","4","0","0","1","0","1","0","0","0","0","-999","0","-999","1","-999","-999","23","23",9.8,12.8,"279",9.53631825e-05,0.0520573384535
"36",NEW YORK,NY,"36005",Bronx,"36005000100","Census Tract 1, Bronx County, New York",0.64757413542,"7080","290","0","17","0","17","0","17","0","17","2247","460","3062","264","51","44","171","89","0","17","0",24,"6542",331.2,"498",127,"0",24,"0","17","0",24,"0","17","7080","290",-999,-999,-999,-999,2247,460,56.5,4,0.7,0.6,2.4,1.3,-999,-999,0,-999,92.4,2.7,7,1.8,0,-999,-999,-999,0,-999,-999,-999,100,0,-999,-999,0.9994,0.9965,-999,-999,0.0062,0.0104,-999,0,-999,-999,0.9243,0.816,1.7403,0.9034,0,-999,0,-999,0.9975,-999,-999,-999,-999,"-999","-999","1","1","-999","0","0","-999","0","-999","1","0","1","0","-999","0","-999","1","-999","-999","0","17",-999,-999,"15770",0.0002882061855,0.0772459898211
"36",NEW YORK,NY,"36005",Bronx,"36005011000","Census Tract 110, Bronx County, New York",0.798959710294,"0","12","0","12","0","12","0","12","0","12","-999","-999","0","12","0","12","0","12","0","12","0",17,"0",17,"0",48,"0",17,"0","12","0",17,"0","12","0","12",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,0,-999,0,-999,0,-999,0,-999,-999,-999,0,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","0","12",-999,-999,"392",0.0002695857145,0.0866280408438
"36",NEW YORK,NY,"36005",Bronx,"36005016300","Census Tract 163, Bronx County, New York",0.226261949632,"0","12","0","12","0","12","0","12","0","12","-999","-999","0","12","0","12","0","12","0","12","0",17,"0",17,"0",48,"0",17,"0","12","0",17,"0","12","0","12",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,0,-999,0,-999,0,-999,0,-999,-999,-999,0,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","0","12",-999,-999,"765",6.23892625e-05,0.0376291568947
"36",NEW YORK,NY,"36005",Bronx,"36005017100","Census Tract 171, Bronx County, New York",0.067409162078,"0","12","0","12","0","12","0","12","0","12","-999","-999","0","12","0","12","0","12","0","12","0",17,"0",17,"0",48,"0",17,"0","12","0",17,"0","12","0","12",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,0,-999,0,-999,0,-999,0,-999,-999,-999,0,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","0","12",-999,-999,"211",1.8831368e-05,0.0186393591035
"36",NEW YORK,NY,"36005",Bronx,"36005024900","Census Tract 249, Bronx County, New York",0.067076728256,"0","12","0","12","0","12","0","12","0","12","-999","-999","0","12","0","12","0","12","0","12","0",17,"0",17,"0",48,"0",17,"0","12","0",17,"0","12","0","12",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,0,-999,0,-999,0,-999,0,-999,-999,-999,0,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","0","12",-999,-999,"5077",1.85681245e-05,0.0207271701945
"36",NEW YORK,NY,"36005",Bronx,"36005031900","Census Tract 319, Bronx County, New York",0.08230536334,"636","196","0","12","0","12","50","84","42","30","6701","6567","0","12","58","107","6","11","40","27","0",17,"302",232.5,"1",46.5,"0",17,"0","12","0",17,"0","12","636","196",71.4,38.7,16.9,10.6,6701,6567,0,34.8,9.1,15.3,0.9,1.7,6.3,4.5,0,-999,47.5,33.5,0.2,7.3,0,-999,-999,-999,0,-999,-999,-999,100,0,0.9979,0.9653,0.9961,0,2.9593,0.7951,0.1573,0.006,0.0769,0,0.2402,0.0082,0.6636,0.2009,0.8645,0.4335,0,-999,0,-999,0.9975,-999,-999,-999,-999,"1","1","1","0","3","0","0","0","0","0","0","0","0","0","-999","0","-999","1","-999","-999","41","26",6.4,4.1,"2009",4.5548416311e-05,0.0390789460014
"36",NEW YORK,NY,"36047",Kings,"36047001800","Census Tract 18, Kings County, New York",0.77999167734,"1959","1194","0","12","0","12","0","12","0","12","23296","34788","691","405","16","30","0","12","0","12","0",17,"1683",1213.2,"260",124,"0",17,"0","12","0",17,"0","12","1959","1194",-999,-999,-999,-999,23296,34788,38.4,7.7,0.8,1.1,0,0.6,-999,-999,0,-999,85.9,33.1,13.3,10.3,0,-999,-999,-999,0,-999,-999,-999,100,0,-999,-999,0.6941,0.9651,-999,-999,0.0066,0,-999,0,-999,-999,0.8843,0.9075,1.7918,0.9273,0,-999,0,-999,0.9975,-999,-999,-999,-999,"-999","-999","0","1","-999","0","0","-999","0","-999","0","1","1","0","-999","0","-999","1","-999","-999","0","12",-999,-999,"12906",0.000342528546213,0.116716868324
